Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
PJT,Financial Services,135.39,198139,0.277486431980603,0.0077,0.02774910450590337
SIG,Consumer Cyclical,97.16,886001,0.4585315539259096,0.0125,0.027260937427263238
NX,Industrials,28.44,636055,0.4215399892410149,0.0113,0.02680647219341091
CNMD,Healthcare,75.35,420439,0.3937342250282343,0.0105,0.02666773506734665
UNF,Industrials,189.75,83782,0.27854374005642546,0.0069999998,0.025130702268096165
AZZ,Industrials,82.65,244390,0.3383239320572018,0.0085,0.025123850826381598
CEIX,Energy,97.7,447233,0.42364410437822525,0.0106,0.025021002040279607
WHD,Energy,62.48,965065,0.3622099976192637,0.0086,0.02374313259304309
PRG,Industrials,48.82,521906,0.42606309887372434,0.0101,0.023705408956323195
SXI,Industrials,181.09,50579,0.29142623253499056,0.0068,0.023333520599191585
BGC,Financial Services,9.83,2793892,0.351894606653244,0.0081,0.023018255599415074
HTLD,Industrials,12.49,347112,0.28265135280202813,0.0064999997,0.022996527826819445
NPO,Industrials,162.36,89769,0.3364594582632834,0.0077,0.022885372400423536
GVA,Industrials,80.33,666777,0.3080007967669128,0.0067000003,0.021753191453820785
GFF,Industrials,69.99,517430,0.4078504932697879,0.0088,0.021576533914301074
MTX,Basic Materials,73.68,165388,0.26780242223403994,0.0055,0.020537528951823286
EVTC,Technology,33.92,476579,0.2874249143805491,0.0058999998,0.020527099443399085
KOP,Basic Materials,37.42,166936,0.37476234410042625,0.0076,0.020279518792750972
CNXN,Technology,76.14,96958,0.27180741982434276,0.0054,0.019867007322646985
LMAT,Healthcare,90.18,132065,0.36892616052832455,0.0072000003,0.019516101242831804
ALG,Industrials,184.93,79241,0.29261078076684355,0.0057,0.01947980175256031
CAL,Consumer Cyclical,33.51,671363,0.43776784354672643,0.0085,0.019416684266104
FSS,Industrials,91.8,358039,0.2899418708758935,0.0054,0.018624422832366327
BCPC,Basic Materials,178.28,117696,0.2428588282478909,0.0045,0.018529283174366463
ASO,Consumer Cyclical,61.83,1648993,0.3802484486751044,0.0069999998,0.018409016064076068
AMR,Basic Materials,212.75,227963,0.5562632472112753,0.01,0.017977099961453833
BMI,Technology,219.63,165073,0.30259462343894,0.0054,0.017845657462878403
